,Unnamed: 0,id_artists,name_artists_df,id_tracks_df,name_tracks_df,duration_m,genre,popularity_tracks_df,release_year,popularity_artists_df,followers,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7753,7753,4q3ewBCX7sLwd24euuV69X,Bad Bunny,68QcquxCS39cQGTsRrJWIR,Amorfoda,2.56,latin,76,2018,98.0,32244734.0,153887,0.749,0.418,-7.925,0.0587,0.985,0.000126,0.0832,0.307,147.887,3
7754,7754,1r4hJ1h58CWwUQe3MxPuau,Maluma,3eJMSq78dDaFb7VvhNFnq6,ADMV,3.23,latin,76,2020,91.0,25073031.0,193700,0.565,0.39,-4.959,0.0556,0.817,0.0,0.126,0.708,163.781,4
7755,7755,0vR2qb8m9WHeZ5ByCbimq2,Reik,0lPXFrKyl8HkdQ2E6NmNja,Ya Me Enteré,3.4,latin,76,2016,83.0,5675082.0,204173,0.619,0.452,-5.449,0.028,0.502,0.0,0.122,0.174,131.981,4
7756,7756,2kXKa3aAFngGz2P4GjG5w2,SCH,52yZydTRNmxinmjt5hjk95,Crack,2.61,pop,76,2021,83.0,1080136.0,156613,0.642,0.794,-6.001,0.194,0.0566,2.66e-05,0.133,0.352,195.034,3
7757,7757,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,3ThrfRAmijYU098H9q9tAs,Enchule,3.1,pop,76,2020,93.0,4438013.0,185719,0.763,0.666,-3.316,0.194,0.153,0.0,0.301,0.587,90.086,4
7758,7758,3Nrfpe0tUJi4K4DXYWgMUX,BTS,3TZ7NHkMT82AhwuYsd00Hz,Your eyes tell,4.09,pop,76,2020,96.0,31623813.0,245147,0.449,0.491,-6.433,0.029,0.279,0.0,0.0654,0.258,139.923,4
7759,7759,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,2K0r5GD5zYlEMx2M7ZMcqG,Better Days,2.41,pop,76,2020,84.0,11636620.0,144530,0.626,0.726,-5.015,0.0376,0.235,0.0,0.304,0.257,89.132,4
7760,7760,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,41L3O37CECZt3N7ziG2z7l,Yummy,3.51,pop,76,2020,100.0,44606973.0,210427,0.687,0.514,-6.612,0.0897,0.366,0.0,0.116,0.494,145.921,4
7761,7761,0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,3ObPkJQAgjAhTwYvDhPrAW,Blue Hour,3.49,pop,76,2020,76.0,3334132.0,209105,0.71,0.82,-4.362,0.0836,0.00962,0.0,0.0871,0.746,112.005,4
7762,7762,3e7awlrlDSwF3iM0WBjGMp,Little Mix,76Tuo484SLohJakHLnGI3B,Sweet Melody,3.56,pop,76,2020,84.0,8958639.0,213693,0.448,0.824,-4.249,0.057,0.0739,0.0,0.113,0.419,119.965,4
7763,7763,5JZ7CnR6gTvEMKX4g70Amv,Lauv,1Srt81FTalOhRw7t7l8Yh8,Tattoos Together,3.11,pop,76,2020,84.0,4154949.0,186613,0.862,0.4,-7.486,0.0736,0.00575,7.49e-06,0.123,0.596,122.963,4
7764,7764,28gNT5KBp7IjEOQoevXf9N,Camilo,42lpuSQmnLUM1ZXJVzIVOi,KESI,2.95,pop,76,2021,90.0,8342103.0,177255,0.889,0.756,-4.23,0.056,0.132,0.0,0.0996,0.918,122.905,4
7765,7765,6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,6vnKRiOjUjYT59xl4awHTx,Sigilo,2.76,pop,76,2021,75.0,160928.0,165367,0.535,0.765,-3.716,0.184,0.433,0.0,0.125,0.627,108.521,4
7766,7766,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,5JycxhApZmzbA4xSwvqh6k,All To Me,2.13,pop,76,2021,91.0,946550.0,127807,0.523,0.543,-8.39,0.156,0.65,0.0,0.257,0.318,116.161,3
7767,7767,3klZnJvYGIbWritVwQD434,Duncan Laurence,3Yyj76BeYt3QIffwKpRuKL,Arcade,3.09,pop,76,2020,80.0,181450.0,185147,0.453,0.35,-11.639,0.0425,0.827,0.00122,0.144,0.279,72.017,3
